Sr. No.,Month,EMP ID,EMP Email,F_Name,L_Name,Full Name,Studio,Country,Date of Hire,Job Title,Org,Client,Manager Email,Manager EMP ID,Manager Name,Type of movement,Date of Exit,Reason for Leaving,Attrition Type,Employment type,Work Authorisation
21,Feb-19,300021,zoe.gill@softvision.com,Zoe,Gill,"Gill, Zoe",Baia Mare,Romania,7-Apr-14,Senior Application Developer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Exit,9-Feb-19,Personal reasons,Voluntary,Full time employee,Citizen
22,Apr-19,300022,peter.alsop@softvision.com,Peter,Alsop,"Alsop, Peter",Baia Mare,Romania,2-Jul-12,Senior Art Director,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,15-Apr-19,Personal reasons,Voluntary,Full time employee,Citizen
23,Feb-19,300023,gavin.paige@softvision.com,Gavin,Paige,"Paige, Gavin",Baia Mare,Romania,17-Jun-15,Senior Associate - Talent Acquisition,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,6-Feb-19,Better opportunity,Voluntary,Full time employee,Citizen
24,May-19,300024,jasmine.ince@softvision.com,Jasmine,Ince,"Ince, Jasmine",Baia Mare,Romania,6-Jul-16,Senior Associate Customer Service,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,15-May-19,Personal reasons,Voluntary,Full time employee,Citizen
25,Jul-19,300025,bernadette.glover@softvision.com,Bernadette,Glover,"Glover, Bernadette",Baia Mare,Romania,6-Jul-19,"Senior Associate, Platforms",Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
26,Jan-19,300026,fiona.coleman@softvision.com,Fiona,Coleman,"Coleman, Fiona",Baia Mare,Romania,16-Jan-19,"Senior Associate, Quality Assurance",Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
27,May-19,300027,richard.rutherford@softvision.com,Richard,Rutherford,"Rutherford, Richard",Baia Mare,Romania,13-May-19,"Senior Associate, User Experience",Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
28,Jun-19,300028,julia.blake@softvision.com,Julia,Blake,"Blake, Julia",Timisoara,Romania,1-Jun-19,Senior BA,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
29,Jun-19,300029,melanie.tucker@softvision.com,Melanie,Tucker,"Tucker, Melanie",Timisoara,Romania,22-Jun-19,Senior Backend Engineer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
30,Jul-19,300030,sophie.wilson@softvision.com,Sophie,Wilson,"Wilson, Sophie",Timisoara,Romania,11-Jul-19,"President, Digital",Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Full time employee,Citizen
31,Mar-19,300031,ava.chapman@softvision.com,Ava,Chapman,"Chapman, Ava",Timisoara,Romania,15-Mar-19,Product Owner,DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Entry,-,-,-,Full time employee,Citizen
32,Aug-19,300032,andrew.knox@softvision.com,Andrew,Knox,"Knox, Andrew",Timisoara,Romania,26-Aug-19,Programmer Analyst,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
33,Sep-19,300033,trevor.wilson@softvision.com,Trevor,Wilson,"Wilson, Trevor",Timisoara,Romania,20-Sep-19,Project Lead,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
34,Mar-19,300034,christian.alsop@softvision.com,Christian,Alsop,"Alsop, Christian",Bucuresti,Romania,1-Mar-19,Project Manager,DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Entry,-,-,-,Full time employee,Citizen
35,Apr-19,300035,kylie.langdon@softvision.com,Kylie,Langdon,"Langdon, Kylie",Iasi,Romania,17-Apr-19,Python Developer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
36,Jan-19,300036,mary.ball@softvision.com,Mary,Ball,"Ball, Mary",Remote,Romania,2-Jan-19,QA ,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
37,Jun-19,300037,hannah.payne@softvision.com,Hannah,Payne,"Payne, Hannah",Bucuresti,Romania,24-Jun-19,QA Associate,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
38,Sep-19,300038,diane.mathis@softvision.com,Diane,Mathis,"Mathis, Diane",Bucuresti,Romania,6-Sep-19,QA Automation Engineer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
39,Aug-19,300039,emma.rutherford@softvision.com,Emma,Rutherford,"Rutherford, Emma",Bucuresti,Romania,17-Aug-19,QA Engineer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
40,Jul-19,300040,leah.cornish@softvision.com,Leah,Cornish,"Cornish, Leah",Bucuresti,Romania,9-Jul-19,Quality Analyst,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
41,Jul-19,300041,sophie.berry@softvision.com,Sophie,Berry,"Berry, Sophie",Bucuresti,Romania,18-Jul-19,Quality Assurance Associcate,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
42,May-19,300042,abigail.lee@softvision.com,Abigail,Lee,"Lee, Abigail",Bucuresti,Romania,1-May-19,Recruiter,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
43,Jun-19,300043,jason.nash@softvision.com,Jason,Nash,"Nash, Jason",Bucuresti,Romania,12-Jun-19,REGIONAL TALENT DEVELOPMENT,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
44,Jul-19,300044,paul.wallace@softvision.com,Paul,Wallace,"Wallace, Paul",Bucuresti,Romania,16-Jul-19,Retail System Consultant,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
45,Aug-19,300045,lauren.parr@softvision.com,Lauren,Parr,"Parr, Lauren",Bucuresti,Romania,19-Aug-19,Sales Engineer,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
46,Aug-19,300046,ava.lee@softvision.com,Ava,Lee,"Lee, Ava",Bucuresti,Romania,8-Aug-19,Sales Executive,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
47,Aug-19,300047,nathan.davidson@softvision.com,Nathan,Davidson,"Davidson, Nathan",Remote,Romania,21-Aug-19,SALES OPERATIONS,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
48,Apr-19,300048,ruth.macdonald@softvision.com,Ruth,MacDonald,"Macdonald, Ruth",Remote,Romania,19-Apr-19,Scrum Master,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
49,Sep-19,300049,andrew.nolan@softvision.com,Andrew,Nolan,"Nolan, Andrew",Remote,Romania,9-Sep-19,Senior .NET Developer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
50,Mar-19,300050,mary.kerr@softvision.com,Mary,Kerr,"Kerr, Mary",Remote,Romania,26-Mar-19,Senior Application Developer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Citizen
