Sr. No.,Month,EMP ID,EMP Email,F_Name,L_Name,Full Name,Studio,Country,Date of Hire,Job Title,Org,Client,Manager Email,Manager EMP ID,Manager Name,Type of movement,Date of Exit,Reason for Leaving,Attrition Type,Employment type,Work Authorisation
27,Mar-19,100027,blake.lewis@softvision.com,Blake,Lewis,"Lewis, Blake",Lorain,USA,5-Mar-19,C++ Developer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Work Permit
28,Jul-19,100028,luke.mackay@softvision.com,Luke,Mackay,"Mackay, Luke",Loveland,USA,10-Jul-19,"Chief Architect, Application Development",Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Full time employee,Work Permit
29,Mar-19,100029,una.dyer@softvision.com,Una,Dyer,"Dyer, Una",Madison,USA,11-Mar-19,Chief Financial Officer,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Full time employee,Work Permit
30,Jun-19,100030,donna.ball@softvision.com,Donna,Ball,"Ball, Donna",Marietta,USA,19-Jun-19,Chief Partnership Officer,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Full time employee,Work Permit
31,Sep-19,100031,alexander.ogden@softvision.com,Alexander,Ogden,"Ogden, Alexander",BUENOS AIRES,Argentina,25-Sep-19,Chief Technical Officer,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Full time employee,Citizen
32,May-19,100032,bella.thomson@softvision.com,Bella,Thomson,"Thomson, Bella",Sao Paulo,Brazil,21-May-19,Client Associate,DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Entry,-,-,-,Full time employee,Citizen
33,Jan-19,100033,donna.hunter@softvision.com,Donna,Hunter,"Hunter, Donna",Toronto,Canada,17-Jan-19,Client Partner,DeliveryOps,DelOpsC,peter.davies@softvision.com,109007,"Davies, Peter",Entry,-,-,-,Full time employee,Citizen
34,May-19,100034,audrey.slater@softvision.com,Audrey,Slater,"Slater, Audrey",Vancouver,Canada,12-May-19,CM Cloud & Dev Ops,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
35,Jun-19,100035,wanda.watson@softvision.com,Wanda,Watson,"Watson, Wanda",BUENOS AIRES,Argentina,6-Jun-19,COMMUNICATION ANALYST,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
36,Apr-19,100036,jacob.carr@softvision.com,Jacob,Carr,"Carr, Jacob",BUENOS AIRES,Argentina,7-Apr-19,COMMUNICATION MANAGER,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
37,Apr-19,100037,olivia.powell@softvision.com,Olivia,Powell,"Powell, Olivia",BUENOS AIRES,Argentina,9-Apr-19,COMMUNICATIONS ANALYST,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
38,Jan-19,100038,joan.nash@softvision.com,Joan,Nash,"Nash, Joan",BUENOS AIRES,Argentina,13-Jan-19,CM Cloud & Dev Ops,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
39,Feb-19,100039,phil.ogden@softvision.com,Phil,Ogden,"Ogden, Phil",BUENOS AIRES,Argentina,21-Feb-19,CM Cloud & Dev Ops,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
40,Feb-19,100040,katherine.butler@softvision.com,Katherine,Butler,"Butler, Katherine",Alpharetta,USA,21-Feb-19,CM Cloud & Dev Ops,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Citizen
