Sr. No.,Month,EMP ID,EMP Email,F_Name,L_Name,Full Name,Studio,Country,Date of Hire,Job Title,Org,Client,Manager Email,Manager EMP ID,Manager Name,Type of movement,Date of Exit,Reason for Leaving,Attrition Type,Employment type,Work Authorisation
11,Aug-19,200011,benjamin.roberts@softvision.com,Benjamin,Roberts,"Roberts, Benjamin",Mysore,India,5-Aug-19,Junior  Application Developer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
12,Feb-19,200012,leah.blake@softvision.com,Leah,Blake,"Blake, Leah",Mysore,India,20-Feb-19,Junior Application Support Analyst,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
13,Jul-19,200013,sally.langdon@softvision.com,Sally,Langdon,"Langdon, Sally",Mysore,India,10-Jul-19,Junior Quality Analyst,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
14,Aug-19,200014,rachel.grant@softvision.com,Rachel,Grant,"Grant, Rachel",Mysore,India,10-Aug-19,Lead .NET Architect,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
15,Aug-19,200015,benjamin.hudson@softvision.com,Benjamin,Hudson,"Hudson, Benjamin",Mysore,India,4-Aug-19,Lead UX Designer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
16,Feb-19,200016,paul.ball@softvision.com,Paul,Ball,"Ball, Paul",Mysore,India,1-Jan-15,Mainframe Developer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,3-Feb-19,Disciplinary Action,Involuntary,Full time employee,Citizen
17,Jul-19,200017,michelle.glover@softvision.com,Michelle,Glover,"Glover, Michelle",Mysore,India,25-Nov-17,Manager,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,12-Jul-19,Personal reasons,Voluntary,Full time employee,Citizen
18,Jul-19,200018,anne.grant@softvision.com,Anne,Grant,"Grant, Anne",Mysore,India,1-May-13,"Manager, Application Development",DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Exit,5-Jul-19,Project end,Involuntary,Full time employee,Citizen
19,May-19,200019,dylan.white@softvision.com,Dylan,White,"White, Dylan",Mysore,India,19-Nov-15,National Account Manager,DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Exit,21-May-19,Project end,Involuntary,Full time employee,Citizen
20,Feb-19,200020,dan.bower@softvision.com,Dan,Bower,"Bower, Dan",Mysore,India,18-Nov-18,Platforms ,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,21-Feb-19,Better compensation,Voluntary,Full time employee,Citizen
21,Mar-19,200021,penelope.hodges@softvision.com,Penelope,Hodges,"Hodges, Penelope",Mysore,India,12-Apr-17,President SPI Mobility Division,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Exit,14-Mar-19,Better opportunity,Voluntary,Full time employee,Citizen
22,Mar-19,200022,lucas.lewis@softvision.com,Lucas,Lewis,"Lewis, Lucas",Mysore,India,17-May-15,"President, Digital",Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Exit,26-Mar-19,Better opportunity,Voluntary,Full time employee,Citizen
23,Apr-19,200023,colin.hardacre@softvision.com,Colin,Hardacre,"Hardacre, Colin",Mysore,India,25-Jul-12,Product Owner,DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Exit,17-Apr-19,Project end,Involuntary,Full time employee,Citizen
24,Jan-19,200024,edward.arnold@softvision.com,Edward,Arnold,"Arnold, Edward",Mysore,India,17-Jan-15,Programmer Analyst,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,19-Jan-19,Better compensation,Voluntary,Full time employee,Citizen
25,Apr-19,200025,julian.abraham@softvision.com,Julian,Abraham,"Abraham, Julian",Mysore,India,24-Jul-17,Project Lead,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,4-Apr-19,Better compensation,Voluntary,Full time employee,Citizen
26,Mar-19,200026,lillian.simpson@softvision.com,Lillian,Simpson,"Simpson, Lillian",Mysore,India,23-May-12,Project Manager,DeliveryOps,DelOpsC,peter.davies@softvision.com,109007,"Davies, Peter",Exit,23-Mar-19,Better compensation,Voluntary,Full time employee,Citizen
27,Jan-19,200027,claire.hart@softvision.com,Claire,Hart,"Hart, Claire",Mysore,India,8-Apr-15,Human Resources Director,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Exit,17-Jan-19,Better opportunity,Voluntary,Full time employee,Citizen
28,Jan-19,200028,joanne.martin@softvision.com,Joanne,Martin,"Martin, Joanne",Mysore,India,16-Oct-12,Immigration Paralegal,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,21-Jan-19,Personal reasons,Voluntary,Full time employee,Citizen
29,Jan-19,200029,melanie.carr@softvision.com,Melanie,Carr,"Carr, Melanie",Mysore,India,25-Jan-15,Intern,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,21-Jan-19,Personal reasons,Voluntary,Full time employee,Citizen
30,Apr-19,200030,boris.hill@softvision.com,Boris,Hill,"Hill, Boris",Mysore,India,9-Dec-14,iOS Developer,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,16-Apr-19,Better compensation,Voluntary,Full time employee,Citizen
31,Jul-19,200031,ava.parsons@softvision.com,Ava,Parsons,"Parsons, Ava",Melbourne,Australia,19-Jun-14,IT Helpdesk Engineer,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,21-Jul-19,Personal reasons,Voluntary,Full time employee,
32,Jul-19,200032,gavin.hill@softvision.com,Gavin,Hill,"Hill, Gavin",Brisbane,Australia,15-Nov-18,IT Operations Coordinator,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,11-Jul-19,Personal reasons,Voluntary,Full time employee,
33,Aug-19,200033,luke.roberts@softvision.com,Luke,Roberts,"Roberts, Luke",Melbourne,Australia,27-Jan-13,IT SUPPORT SPECIALIST*,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,16-Aug-19,Personal reasons,Voluntary,Full time employee,
34,Feb-19,200034,hannah.johnston@softvision.com,Hannah,Johnston,"Johnston, Hannah",Melbourne,Australia,27-Jan-18,Java Developer,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,9-Feb-19,Better opportunity,Voluntary,Full time employee,
35,Jun-19,200035,james.smith@softvision.com,James,Smith,"Smith, James",Melbourne,Australia,21-Dec-17,Java Engineer,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,18-Jun-19,Better opportunity,Voluntary,Full time employee,
36,Feb-19,200036,alan.oliver@softvision.com,Alan,Oliver,"Oliver, Alan",Melbourne,Australia,11-Feb-19,Jr. Front End Developer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Work Permit
37,Jan-19,200037,adam.mackay@softvision.com,Adam,Mackay,"Mackay, Adam",Melbourne,Australia,7-Jan-19,Junior  Application Developer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Work Permit
38,Aug-19,200038,sally.ferguson@softvision.com,Sally,Ferguson,"Ferguson, Sally",Melbourne,Australia,9-Aug-19,Junior Application Support Analyst,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Work Permit
39,Jan-19,200039,keith.hodges@softvision.com,Keith,Hodges,"Hodges, Keith",Melbourne,Australia,9-Jan-19,Junior Quality Analyst,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Work Permit
40,Jul-19,200040,diane.reid@softvision.com,Diane,Reid,"Reid, Diane",Melbourne,Australia,10-Jul-19,Lead .NET Architect,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Work Permit
41,Jun-19,200041,una.king@softvision.com,Una,King,"King, Una",Melbourne,Australia,13-Jun-19,Lead UX Designer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Work Permit
42,May-19,200042,ryan.reid@softvision.com,Ryan,Reid,"Reid, Ryan",Melbourne,Australia,12-May-19,Mainframe Developer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Contractor,Work Permit
43,May-19,200043,eric.forsyth@softvision.com,Eric,Forsyth,"Forsyth, Eric",Brisbane,Australia,27-May-19,Manager,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Contractor,Work Permit
44,Aug-19,200044,lucas.avery@softvision.com,Lucas,Avery,"Avery, Lucas",Brisbane,Australia,6-Aug-19,"Manager, Application Development",DeliveryOps,DelOpsA,stephen.ogden@softvision.com,109005,"Ogden, Stephen",Entry,-,-,-,Contractor,Work Permit
45,Aug-19,200045,megan.gray@softvision.com,Megan,Gray,"Gray, Megan",Brisbane,Australia,13-Aug-19,National Account Manager,DeliveryOps,DelOpsA,stephen.ogden@softvision.com,109005,"Ogden, Stephen",Entry,-,-,-,Contractor,Work Permit
46,Apr-19,200046,madeleine.ogden@softvision.com,Madeleine,Ogden,"Ogden, Madeleine",Ahmedabad,India,22-Apr-19,Platforms ,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Contractor,Citizen
47,Jan-19,200047,paul.scott@softvision.com,Paul,Scott,"Scott, Paul",Ahmedabad,India,18-Jan-19,President SPI Mobility Division,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Contractor,Citizen
48,Jun-19,200048,andrew.bell@softvision.com,Andrew,Bell,"Bell, Andrew",Ahmedabad,India,15-Jun-19,"President, Digital",Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Contractor,Citizen
49,Jun-19,200049,michelle.randall@softvision.com,Michelle,Randall,"Randall, Michelle",Ahmedabad,India,25-Jun-19,Product Owner,DeliveryOps,DelOpsB,dominic.lee@softvision.com,109006,"Lee, Dominic",Entry,-,-,-,Contractor,Citizen
50,Jan-19,200050,felicity.metcalfe@softvision.com,Felicity,Metcalfe,"Metcalfe, Felicity",Ahmedabad,India,12-Jan-19,Programmer Analyst,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Entry,-,-,-,Contractor,Citizen
